End.Date,End.Time,Malaise.Pit,Order,Family,Subfamily,Genus,Species,Length,Width,Reference.Col.Flag,Suspect.ID.Flag,Notes
20-Jul,22:00,M,Diptera,Tabanidae,,,,19,7,,,
20-Jul,22:00,M,Diptera,Tabanidae,,,,21,8,R,,
20-Jul,22:00,M,Diptera,Tabanidae,,,,18,6,,,
20-Jul,22:00,M,Diptera,Anthomyiidae,,,,4,2,R,,
20-Jul,22:00,M,Diptera,Anthomyiidae,,,,4,2,,,
20-Jul,22:00,M,Diptera,Anthomyiidae,,,,4.25,2,,,
20-Jul,22:00,M,Diptera,Anthomyiidae,,,,4,1.75,,,
20-Jul,22:00,M,Diptera,Anthomyiidae,,,,4,1.75,,,
20-Jul,22:00,M,Diptera,Anthomyiidae,,,,4,2,,,
20-Jul,22:00,M,Diptera,Anthomyiidae,,,,5,2.5,,,
20-Jul,22:00,M,Diptera,Anthomyiidae,,,,4.5,2,,,
20-Jul,22:00,M,Diptera,Anthomyiidae,,,,4,1.5,,,
20-Jul,22:00,M,Diptera,Anthomyiidae,,,,5,2.25,,,
20-Jul,22:00,M,Diptera,Anthomyiidae,,,,4.25,2,,,
20-Jul,22:00,M,Diptera,Anthomyiidae,,,,5.25,1.75,R,,
20-Jul,22:00,M,Diptera,Anthomyiidae,,,,7,3,,,
20-Jul,22:00,M,Diptera,Anthomyiidae,,,,6,2.75,,,
20-Jul,22:00,M,Diptera,Anthomyiidae,,,,6,2.5,,,
20-Jul,22:00,M,Diptera,Anthomyiidae,,,,4,1.75,,,
20-Jul,22:00,M,Diptera,Anthomyiidae,,,,3,1.5,,,
20-Jul,22:00,M,Diptera,Anthomyiidae,,,,4,2,,,
20-Jul,22:00,M,Diptera,Anthomyiidae,,,,5,2.25,,,
20-Jul,22:00,M,Diptera,Anthomyiidae,,,,4,2,,,
20-Jul,22:00,M,Diptera,Anthomyiidae,,,,4,1.75,,,
20-Jul,22:00,M,Diptera,Anthomyiidae,,,,4.5,2,,,
20-Jul,22:00,M,Diptera,Anthomyiidae,,,,4.5,2.25,,,
20-Jul,22:00,M,Diptera,Anthomyiidae,,,,5,2.25,,,
20-Jul,22:00,M,Diptera,Anthomyiidae,,,,4.5,2,,,
20-Jul,22:00,M,Diptera,Anthomyiidae,,,,4,2,,,
20-Jul,22:00,M,Diptera,Anthomyiidae,,,,6,2.25,,,
20-Jul,22:00,M,Diptera,Anthomyiidae,,,,4,2,,,
20-Jul,22:00,M,Diptera,Phoridae,,,,1.75,0.75,,,
20-Jul,22:00,M,Diptera,Phoridae,,,,1.25,0.5,,,
20-Jul,22:00,M,Diptera,Phoridae,,,,1.25,0.5,R,,
20-Jul,22:00,M,Diptera,Phoridae,,,,1.5,0.75,,,
20-Jul,22:00,M,Diptera,Phoridae,,,,1.25,0.5,,,
20-Jul,22:00,M,Diptera,Phoridae,,,,1,0.5,,,
20-Jul,22:00,M,Diptera,Phoridae,,,,1.25,0.75,,,
20-Jul,22:00,M,Diptera,Phoridae,,,,1,0.5,,,
20-Jul,22:00,M,Diptera,Phoridae,,,,1,0.5,,,
20-Jul,22:00,M,Diptera,Phoridae,,,,1,0.75,,,
