ord.fam,trophic.position,trophic.position.2,trophic.position.3,notes,citation
Acari.non-parasitic,Detritivore,Predator,Herbivore,,borror
Aranea.Gnaphosidae,Predator,,,,none
Aranea.Linyphiidae,Predator,,,,none
Aranea.Salticidae,Predator,,,,none
Coleoptera.Carabidae,Predator,,,,borror
Coleoptera.Chrysomelidae,Herbivore,,,,none
Coleoptera.Cocinellidae,Predator,,,,borror
Coleoptera.Elateridae,Detritivore,Predator,Herbivore,,evans and hogue
Coleoptera.Melyridae,Predator,Herbivore,Detritivore,pollen,borror
Coleoptera.Rhipiphoridae,Herbivore,,,,
Coleoptera.Staphylinidae,Predator,,,,borror
Collembola.Entomobryidae,Detritivore,,,,
Collembola.Isotomidae,Detritivore,,,,
Collembola.Onychiuridae,Detritivore,,,,
Diptera.,Unknown,,,,
Diptera.Anthomyiidae,Herbivore,,,"nectar, pollen",bugguide
Diptera.Asilidae,Predator,,,,borror
Diptera.Bombyliidae,Herbivore,,,"nectar, pollen","NL and DJ Greathead, 1999"
Diptera.Calliphoridae,Detritivore,,,,borror
Diptera.Cecidomyiidae,Non-Feeding,Detritivore,,gallers,borror
Diptera.Ceratopogonidae,Parasite,Predator,,ectoparasite,borror
Diptera.Chloropidae,Parasite,Detritivore,,,bugguide
Diptera.Dolichopodidae,Predator,,,,borror
Diptera.Empididae,Predator,Herbivore,,"nectar, pollen",borror
Diptera.Fanniidae,Detritivore,,,,"russell, otranto, wall 2008"
Diptera.Heleomyzidae,Unknown,,,,
Diptera.Milichiidae,Detritivore,,,,McAlpine vol 2
Diptera.Muscidae,Parasite,Predator,Detritivore,,borror
Diptera.Mycetophilidae,Herbivore,Detritivore,,nectar,McAlpine vol 1
Diptera.Phoridae,Detritivore,,,,borror
Diptera.Scatopsidae,Non-Feeding,Detritivore,,,Meade and Cook 1961
Diptera.Sciaridae,Detritivore,Herbivore,,,Aust. cat. of Diptera
Diptera.Sepsidae,Detritivore,,,,McAlpine vol 2
Diptera.Simuliidae,Parasite,,,,borror
Diptera.Sphaeroceridae,Detritivore,,,,
Diptera.Syrphidae,Herbivore,,,"nectar, pollen",McAlpine vol 2
Diptera.Tabanidae,Parasite,Herbivore,,"nectar, pollen",borror
Diptera.Tachinidae,Parasitoid,Herbivore,,"nectar, pollen",McAlpine vol 2
Diptera.Tipulidae,Non-Feeding,Detritivore,,,borror
Hemiptera.,Unknown,,,,
Hemiptera.Aleyrodidae,Herbivore,,,,borror
Hemiptera.Cicadellidae,Herbivore,,,,borror
Hemiptera.Geocoridae,Predator,Herbivore,,,borror
Hemiptera.Lyctocoridae,Parasite,,,,borror
Hemiptera.Miridae,Herbivore,Predator,,,borror
Hemiptera.Psyllidae,Herbivore,,,,borror
Hemiptera.Scutelleridae,Herbivore,,,,borror
Hymenoptera.Andrenidae,Herbivore,,,"pollen, nectar",bugguide
Hymenoptera.Aphelinidae,Parasitoid,,,,bugguide
Hymenoptera.Apidae,Herbivore,,,,bugguide
Hymenoptera.Chalcididae,Parasitoid,,,,borror
Hymenoptera.Encyrtidae,Parasitoid,,,,borror
Hymenoptera.Formicidae,Detritivore,Predator,Herbivore,,borror
Hymenoptera.Mymaridae,Parasitoid,,,,borror
Hymenoptera.Pteromalidae,Parasitoid,,,,borror
Hymenoptera.Scelionidae,Parasitoid,,,,borror
Hymenoptera.Sphecidae,Predator,,,,borror
Hymenoptera.Trichogrammatidae,Parasitoid,,,,borror
Lepidoptera.Elachistidae,Herbivore,,,,
Lepidoptera.Nymphalidae,Herbivore,,,,
Lepidoptera.Pieridae,Herbivore,,,,
Microcoryphia.Meinertellidae,Herbivore,Detritivore,,,borror
Neuroptera.Hemerobiidae,Predator,,,,bugguide
Opilones.Phalangiidae,Predator,,,,
Orthoptera.Acrididae,Herbivore,,,,
Orthoptera.Raphidophoridae,Detritivore,Predator,Herbivore,,bugguide
Orthoptera.Stenopelmatidae,Detritivore,,,,bugguide
Thysanoptera.Thripidae,Detritivore,Herbivore,Predator,,
Trichoptera.Hydroptilidae,Non-Feeding,,,,Marshall 1972
Aranea.Lycosidae,Predator,,,,
