end.time,max.T,min.T,mean.T,mean.RH,light.shade,light.sun,wind.min,wind.max,perc.clouds
7/18/13 22:00,29.5083,16.0508,20.02264583,44.23372917,27.5,375,0,2,0
7/19/13 2:00,18.4051,16.1506,16.99605417,48.265375,0,0,0,0,0
7/19/13 6:00,16.5013,15.0482,15.720675,47.35372917,1.5,2,0,0,0
7/19/13 10:00,26.0598,15.1484,19.25655833,38.9175625,26.5,677,0,1.5,0
7/19/13 14:00,32.4544,27.3098,29.41791667,20.15997917,55,1525,0,1.5,0
7/19/13 18:00,32.2548,27.7596,30.09885833,23.4026875,50,1142.5,0,1.5,0
7/19/13 22:00,27.4596,18.5553,22.20632917,41.493,20,292.5,0,1.5,0
7/20/13 2:00,20.8084,19.9071,20.33470417,38.62470833,0,0,0,0.5,0
7/20/13 6:00,21.7092,17.7037,19.50234583,42.28747917,1.5,2,0,0.5,0
7/20/13 10:00,28.409,18.6555,22.13710417,43.21783333,16.5,652,0,0,0
7/20/13 14:00,34.3505,29.4086,31.88794583,21.41329167,60,1525,0,0,0
7/20/13 18:00,34.8,30.1077,32.42461667,25.37479167,67.5,1200,0,1.5,0
7/20/13 22:00,29.6081,21.0586,24.30939583,39.85025,22.5,325,0,1.5,0
7/21/13 2:00,22.4096,20.8081,21.67142083,42.84320833,0,0,0,0,0
7/21/13 6:00,21.2087,20.0072,20.60169583,45.62025,1.5,2,0,0,0
7/21/13 10:00,29.5576,19.4562,23.04587917,44.9364375,31.5,652,0,0,0
7/21/13 14:00,35.5982,30.457,32.60742083,26.31389583,75,1550,0,0,0
7/21/13 18:00,36.147,29.6082,32.71320833,28.06564583,85,1200,0,0,0
7/21/13 22:00,29.1586,20.7582,23.91774167,45.07629167,40,300,0,1,0
7/22/13 2:00,21.3588,19.306,20.34297083,43.60027083,0,0,0,1,0
7/22/13 6:00,19.3562,17.5534,18.56977917,57.31252083,1.5,2,0,0,0
7/22/13 10:00,25.2102,17.4531,20.773825,59.46139583,21.5,652,0,0,0
7/22/13 14:00,32.105,26.3595,29.2515375,33.66358333,65,1525,0,0.5,0
7/22/13 18:00,32.654,24.7604,28.87225833,29.46270833,100,985,0,0.5,40
7/22/13 22:00,24.4104,19.0059,21.1978125,39.22316667,55,110,0,0,50
7/23/13 2:00,19.2564,17.8542,18.89742917,37.52995833,0,0,0,0,30
7/23/13 6:00,19.1562,16.852,17.91666667,45.90379167,1,1,0,0,65
7/23/13 10:00,20.6079,16.7518,18.39012083,44.84995833,76,151,0,2.5,95
7/23/13 14:00,29.1087,21.259,25.42249167,30.73322917,127.5,950,0,3,55
7/23/13 18:00,29.758,24.9104,26.85556667,34.77577083,87.5,1200,0,3,5
