ord.fam,trophic.position,trophic.position.2,trophic.position.3,trophic.assign,notes,citation,
Acari.non-parasitic,Detritivore,Predator,Herbivore,Omnivore,,borror,
Trombidiformes.Cunaxidae,Predator,,,,predatory mites,borror,Acari.parasitic
Acari.,Unknown,,,,,,Acari.quadrate.dark
Aranea.,Predator,,,,,,
Aranea.Gnaphosidae,Predator,,,,,,
Aranea.Linyphiidae,Predator,,,,,,
Aranea.Lycosidae,Predator,,,,,,
Aranea.Nemesiidae,Predator,,,,,,
Aranea.Oxyopidae,Predator,,,,,,
Aranea.Pisauridae,Predator,,,,,,
Aranea.Salticidae,Predator,,,,,,
Aranea.Theraphosidae,Predator,,,,,,
Aranea.Thomisidae,Predator,,,,,,
Blattodea.Rhinotermitidae,Herbivore,,,,wood,borror,
Coleoptera.,Unknown,,,,,,
Coleoptera.Anthicidae,Detritivore,Predator,Herbivore,Omnivore,,evans and hogue,
Coleoptera.Carabidae,Predator,,,,,borror,
Coleoptera.Chrysomelidae,Herbivore,,,,,none,
Coleoptera.Cocinellidae,Predator,,,,,borror,
Coleoptera.Curculionidae,Herbivore,,,,,,
Coleoptera.Elateridae,Detritivore,Predator,Herbivore,Omnivore,,evans and hogue,
Coleoptera.Melyridae,Predator,Herbivore,Detritivore,Omnivore,pollen,borror,
Coleoptera.Mordellidae,Herbivore,Detritivore,,Omnivore,,evans and hogue,
Coleoptera.Nitidulidae,Detritivore,,,,,borror,
Coleoptera.Rhipiphoridae,Herbivore,,,,,,
Coleoptera.Staphylinidae,Predator,,,,,borror,
Coleoptera.Tenebrionidae,Detritivore,,,,,bugguide,
Coleoptera.Trogrossitidae,Predator,,,,,evans and hogue,
Coleoptera.Zopheridae,Detritivore,,,,,evans and hogue,
Collembola.,Detritivore,,,,,,
Collembola.Entomobryidae,Detritivore,,,,,,
Collembola.Isotomidae,Detritivore,,,,,,
Collembola.Onychiuridae,Detritivore,,,,,,
Diptera.,Unknown,,,,,,
Diptera.Anthomyiidae,Herbivore,,,,"nectar, pollen. as larvae, primarily root feeders",bugguide,
Diptera.Asilidae,Predator,,,,,borror,
Diptera.Bombyliidae,Herbivore,,,,"nectar, pollen","NL and DJ Greathead, 1999",
Diptera.Calliphoridae,Detritivore,Herbivore,Endoparasite,Larval.detritivore,"adults can nectar, but are primarily found near carcasses.",McAlpine vol 2,
Diptera.Carnidae,Detritivore,,,,"with wings, excluding Carnus spp. likely detritivore",McAlpine vol 2,
Diptera.Cecidomyiidae,Non-Feeding,Herbivore,Detritivore,Gall-maker,"some larvae feed in galls, others feed on fungi","borror, bugguide",
Diptera.Ceratopogonidae,Ectoparasite,Predator,,Ectoparasite,"ectoparasitic primarily, only small subset predatory.",McAlpine vol 1,
Diptera.Chamaemyiidae,Predator,,,,,evenhuis 2007,
Diptera.Chloropidae,Ectoparasite,Detritivore,Herbivore,Omnivore,varies considerably by species and lifestage,bugguide,
Diptera.Conopidae,Herbivore,,,Herbivore,"larvae are endoparasites, adults are nectar feeders",borror,
Diptera.Culicidae,Ectoparasite,,,,,McAlpine vol 1,
Diptera.Dolichopodidae,Predator,,,,,McAlpine vol 1,
Diptera.Empididae,Predator,Herbivore,Detritivore,Omnivore,"varies considerably by species and lifestage, but most take a meal of live insects and will feed on nectar.",borror,
Diptera.Ephydridae,Herbivore,Detritivore,,Omnivore,adults mostly feed on algae. likely from nearby hotspring,McAlpine vol 2,
Diptera.Fanniidae,Detritivore,,,Larval.detritivore,,"russell, otranto, wall 2008",
Diptera.Heleomyzidae,Unknown,Detritivore,,Larval.detritivore,,McAlpine vol 2,
Diptera.Hippoboscidae,Ectoparasite,,,,,borror,
Diptera.Lauxaniidae,Detritivore,,,Larval.detritivore,,McAlpine vol 2,
Diptera.Milichiidae,Detritivore,Herbivore,,Omnivore,"often taken at flowers, while also consume excretions from asilid prey",McAlpine vol 2,
Diptera.Muscidae,Ectoparasite,Predator,Detritivore,Omnivore,,McAlpine vol 2,
Diptera.Mycetophilidae,Herbivore,Detritivore,,Omnivore,"nectar as adults, fungi as larvae",McAlpine vol 1,
Diptera.Phoridae,Detritivore,Herbivore,Ectoparasite,Omnivore,"varies widely by species, but many feed on nectar and utilize other nutrient sources.",McAlpine vol 2,
Diptera.Pipunculidae,Parasitoid,,,,,McAlpine vol 2,
Diptera.Sarcophagidae,Endoparasite,Detritivore,Herbivore,Omnivore,"many species obligate, some faculatative parasites. May feed on nectar.",McAlpine vol 2,
Diptera.Scathophagidae,Predator,,,Predator,"adults predators, larval biology varied",McAlpine vol 2,
Diptera.Scatopsidae,Non-Feeding,Detritivore,,Larval.detritivore,,Meade and Cook 1961,
Diptera.Sciaridae,Detritivore,Herbivore,,Larval.detritivore,,Aust. cat. of Diptera,
Diptera.Sepsidae,Detritivore,,,Larval.detritivore,,McAlpine vol 2,
Diptera.Simuliidae,Ectoparasite,,,,,McAlpine vol 1,
Diptera.Sphaeroceridae,Detritivore,,,,,McAlpine vol 2,
Diptera.Syrphidae,Herbivore,,,,"nectar, pollen",McAlpine vol 2,
Diptera.Tabanidae,Ectoparasite,Herbivore,,Ectoparasite,"nectar, pollen",McAlpine vol 1,
Diptera.Tachinidae,Parasitoid,Herbivore,,Omnivore,"adults feed on plant sugars, while larvae are all endoparasitic.",McAlpine vol 2,
Diptera.Tipulidae,Non-Feeding,Detritivore,,Larval.detritivore,"adults often non-feeding. larval strategies vary, with aquatic detritivore being most common.",McAlpine vol 1,
Hemiptera.,Unknown,,,,,,
Hemiptera.Aleyrodidae,Herbivore,,,,,borror,
Hemiptera.Anthocoridae,Predator,,,,,borror,
Hemiptera.Aphididae,Herbivore,,,,,,
Hemiptera.Berytidae,Herbivore,Predator,,Omnivore,,borror,
Hemiptera.Cicadellidae,Herbivore,,,,,borror,
Hemiptera.Geocoridae,Predator,Herbivore,,Omnivore,,borror,
Hemiptera.Lyctocoridae,Ectoparasite,,,,,borror,
Hemiptera.Miridae,Herbivore,Predator,,Omnivore,,borror,
Hemiptera.Nabidae,Predator,,,,,borror,
Hemiptera.Psyllidae,Herbivore,,,,,borror,
Hemiptera.Reduviidae,Predator,,,,,,
Hemiptera.Rhyparochromidae,Herbivore,,,,,,
Hemiptera.Scutelleridae,Herbivore,,,,,borror,
Hymenoptera.Andrenidae,Herbivore,,,,"pollen, nectar",bugguide,
Hymenoptera.Aphelinidae,Parasitoid,,,,,bugguide,
Hymenoptera.Apidae,Herbivore,,,,,bugguide,
Hymenoptera.Bethylidae,Parasitoid,,,,,borror,
Hymenoptera.Ceraphronidae,Parasitoid,,,,,borror,
Hymenoptera.Chalcididae,Parasitoid,,,,,borror,
Hymenoptera.Chrysididae,Parasitoid,,,,,borror,
Hymenoptera.Diapriidae,Parasitoid,,,,,,
Hymenoptera.Encyrtidae,Parasitoid,,,,,borror,
Hymenoptera.Eulophidae,Parasitoid,,,,,,
Hymenoptera.Formicidae,Detritivore,Predator,Herbivore,Omnivore,,borror,
Hymenoptera.Halictidae,Herbivore,,,,,,
Hymenoptera.Ichneumonidae,Parasitoid,,,,,borror,
Hymenoptera.Mutillidae,Predator,,,,,borror,
Hymenoptera.Mymaridae,Parasitoid,,,,,borror,
Hymenoptera.Platygastridae,Parasitoid,,,,,,
Hymenoptera.Pompilidae,Predator,,,,,borror,
Hymenoptera.Pteromalidae,Parasitoid,,,,,borror,
Hymenoptera.Scelionidae,Parasitoid,,,,,borror,
Hymenoptera.Sphecidae,Predator,,,,,borror,
Hymenoptera.Torymidae,Parasitoid,,,,,,
Hymenoptera.Trichogrammatidae,Parasitoid,,,,,borror,
Lepidoptera.,Herbivore,,,,,,
Lepidoptera.Blastobasidae,Herbivore,Detritivore,,Omnivore,"often feed on food stores, decaying plant matter.",DeBene,
Lepidoptera.Elachistidae,Herbivore,,,,,,
Lepidoptera.Gelechiidae,Herbivore,,,,,,
Lepidoptera.Geometridae,Herbivore,,,,,,
Lepidoptera.micro,Herbivore,,,,,,
Lepidoptera.Noctuidae,Herbivore,,,,,borror,
Lepidoptera.Nymphalidae,Herbivore,,,,,,
Lepidoptera.Papilionidae,Herbivore,,,,,,
Lepidoptera.Pieridae,Herbivore,,,,,,
Lepidoptera.Sphingidae,Herbivore,,,,,,
Lepidoptera.Ypsolophidae,Herbivore,,,,,,
Microcoryphia.Meinertellidae,Herbivore,Detritivore,,Omnivore,,borror,
Neuroptera.Chrysopidae,Herbivore,,,,,,
Neuroptera.Chrysopidae.larva,Predator,,,,,,
Neuroptera.Hemerobiidae,Predator,,,,,bugguide,
Neuroptera.Myrmeleontidae,Predator,,,,,,
Opilones.Phalangiidae,Predator,,,,,,
Orthoptera.Acrididae,Herbivore,,,,,,
Orthoptera.Gryllidae,Detritivore,Herbivore,Predator,Omnivore,,,
Orthoptera.Raphidophoridae,Detritivore,Predator,Herbivore,Omnivore,,bugguide,
Orthoptera.Stenopelmatidae,Detritivore,,,,,bugguide,
Orthoptera.Tettigoniidae,Herbivore,Predator,,Omnivore,,,
Pseudoscorpiones.Chthoniidae,Predator,,,,,,
Solifugae.Eremobatidae,Predator,,,,,,
Thysanoptera,Detritivore,Herbivore,Predator,Omnivore,,borror,
Thysanoptera.Phlaeothripidae,Detritivore,Herbivore,Predator,Omnivore,,borror,
Thysanoptera.Thripidae,Detritivore,Herbivore,Predator,Omnivore,,,
Trichoptera.,,,,Larval.detritivore,,,
Trichoptera.Hydroptilidae,Non-Feeding,,,Larval.detritivore,,Marshall 1972,
